4
568757
enex
157778590 74038480
175317700 175218700
172586080 172788080
137424650 44804650
147820180 69093220
165251270 128289270
138362850 71706650
159099720 172896920
172896920 159099720
185685700 43632700
171027900 285350950
242273040 85700560
274976350 89345390
242565550 72977950
200178250 68136250
250845600 278732300
225484060 266970720
213224600 54311200
213497300 278732300
209491680 92416340
218821300 79421700
212813560 81895440
209221250 68136250
185630460 75341720
232833240 76436440
244611080 174667300
288102000 87899400
226534260 57803880
251639310 289041310
283294640 338382600
237068000 265481000
244595720 85700560
224910960 105722160
256771010 301427500
84437000 89875200
83218120 80442300
91514950 285350950
133786900 43632700
122532860 80442300
102398280 40361900
94713280 85700560
49114090 74622180
40749010 87872240
51946560 68807650
44786400 95674550
47961470 58788150
33479300 285350950
138747280 268853100
131287200 182481090
134148860 178843400
266424000 53418600
265454900 55886820
265459090 61013970
265443050 74727400
228169110 106067220
263018190 71706650
267683320 85700560
246759540 277029250
244607570 272020770
257853800 89875200
248303550 95674550
255554440 75341720
235427260 80442300
250106200 54311200
250389680 65211580
259490040 55886820
259548200 53418600
256464000 53418600
255038370 55886820
252779800 53418600
204722920 268853100
225317390 76436440
191225080 69093220
182950080 81895440
214425710 268853100
224501080 282474800
171681400 87899400
173874660 81895440
193696100 80442300
171757880 74622180
211867800 53418600
217477270 71684330
217613490 71684330
198654940 71684330
193509000 53418600
185261000 53418600
176577400 53418600
220208000 53418600
226727000 53418600
220567000 53418600
227891400 53418600
215102000 53418600
209332090 67964420
223559600 53418600
183948840 85700560
191218720 80835280
273224180 282474800
240184260 57803880
238956780 80442300
255185800 87899400
248486620 55886820
247167800 53418600
239538910 55886820
235710000 53418600
235011200 53418600
242989620 76932960
243126600 53418600
259913750 55482500
256565000 55482500
271433000 61013970
240495400 53418600
231975000 53418600
232044400 53418600
227447520 44804650
239146360 80442300
241672360 85700560
247616520 44804650
251409400 95674550
249709360 80442300
256905160 43632700
256348560 71750800
285332900 68807650
283099900 74622180
280526000 54311200
278365600 81895440
286647200 85700560
291194200 43632700
238012680 81895440
220171360 80442300
221804370 44804650
236700500 78717450
246248040 76436440
253205440 174667300
224809340 277933300
240035160 279963300
